channel,name,URL,topInfluencer,uploads,subs,views,dailyViews,weeklyViews,lastMonthViews,creationDate,days,subscribed,viewsPerUpload,viewsPerSubs,viewsPerDays,subsPerUpload,daysPerUpload,subs2019,lastUpload,uploadsLastFourMonths,uploadsLastWeek,ownsBrand,collabs,age
Madison Miller,Madison Miller,,n,704,538000,26178195,,,,1/19/2015,1929,n,37185,49,13571,764,3,,,,,,,
cosmobyhaley,Haley Wight,,n,349,528000,42665167,,,,4/16/2015,1842,n,122250,81,23162,1513,5,,,,,,,
MsStephNic,Stephanie Nicole,,n,241,497000,36611801,,,,10/17/2014,2023,n,151916,74,18098,2062,8,,,,,,,
Meejmuse,Jeniffer Harn,,n,326,476000,34004577,,,,2/9/2011,3369,n,104309,71,10093,1460,10,,,,,,,
jamiepaigebeauty,Jamie Paige,,n,582,471000,50292226,,,,3/3/2013,2616,n,86413,107,19225,809,4,,,,,,,
Haley Kim,Haley Kim,,n,101,450000,21184658,,,,8/31/2015,1705,n,209749,47,12425,4455,17,,,,,,,
Hannah Mussette,Hannah Mussette,,n,155,433000,20501293,,,,12/26/2013,2318,n,132266,47,8844,2794,15,,,,,,,
thegalsguide,Mariah Leonard,,n,135,370000,9293051,,,,4/30/2013,2558,n,68837,25,3633,2741,19,,,,,,,
KaterinaBeautyBlog,Katerina Williams,,n,202,331000,20554944,,,,12/19/2013,2325,n,101757,62,8841,1639,12,,,,,,,
LollyDolly128,Danna Ann,,n,568,326000,25778348,,,,11/15/2010,3455,n,45384,79,7461,574,6,,,,,,,
AndreaMatillano,Andréa Matillano,,n,1184,318000,43249518,,,,4/3/2011,3316,n,36528,136,13043,269,3,,,,,,,
flawlesskevin,Flawless Kevin,,n,486,311000,20737174,,,,4/27/2012,2926,n,42669,67,7087,640,6,,,,,,,
mariannahewitt,Marianna Hewitt,,n,293,300000,27965615,,,,6/29/2006,5055,n,95446,93,5532,1024,17,,,,,,,
JenLuvsReviews,Jen Luv,,n,1958,288000,38896766,,,,4/19/2012,2934,y,19866,135,13257,147,1,,,,,,,
susanyara,Susan Yara,,n,149,236000,17470254,,,,8/8/2008,4284,n,117250,74,4078,1584,29,,,,,,,
sugarpuffandfluff,Sugar Puff and Fluff,,n,1027,232000,31659591,,,,12/22/2011,3053,n,30827,136,10370,226,3,,,,,,,
Jaime French,Jaime French,https://www.youtube.com/channel/UCsTnqDJtq9yKrV6Iz4naBxg,n,206,176000,8221335,"34,496","241,472","1,034,864",10/12/2016,1297,y,39909,47,6339,854,6,94500,04/29/20,26,1,n,y,30
Beauty101byLisa,Lisa,,n,273,168000,14917842,,,,9/16/2013,2419,n,54644,89,6167,615,9,,,,,,,
StyledbyHrush,Hrush,,n,33,149000,4153154,,,,7/19/2013,2478,n,125853,28,1676,4515,75,,,,,,,
naturallynicolexo,nicolerenee,,n,554,142000,12616844,,,,9/2/2012,2798,n,22774,89,4509,256,5,,,,,,,
Nadine Baggott,Nadine Baggott,,n,364,135000,15815261,,,,9/27/2014,2043,n,43449,117,7741,371,6,,,,,,,
Andrea Renee,Andrea Renee,,n,669,134000,7909451,,,,8/31/2014,2070,n,11823,59,3821,200,3,,,,,,,
amctomy,Beauty by Anne-Marie,,n,370,128000,10866307,,,,9/15/2012,2785,n,29368,85,3902,346,8,,,,,,,
Ellie Addis,Ellie Addis,,n,39,120000,3567762,,,,5/31/2017,1066,n,91481,30,3347,3077,27,,,,,,,
MsGoldgirl,Marnie Goldberg,,n,1742,118000,28035962,,,,5/16/2009,4003,n,16094,238,7004,68,2,,,,,,,
Julia Adams MUA,Julia Adams MUA,,n,138,109000,5041327,,,,8/22/2016,1348,n,36531,46,3740,790,10,,,,,,,
